spaceId	spaceName
6668	5楼东342
6669	5楼东343
6670	5楼东344
6671	5楼东345
6672	5楼东346
6673	5楼东347
6674	5楼东348
6675	5楼东349
6676	5楼东350
6677	5楼东351
6678	5楼东352
6679	5楼东353
6680	5楼东354
6681	5楼东355
6682	5楼东356
6683	5楼东357
6684	5楼东358
6685	5楼东359
6686	5楼东360
6687	5楼东361
6688	5楼东362
6689	5楼东363
6690	5楼东364
6691	5楼东365
6692	5楼东366
6693	5楼东367
6694	5楼东368
6695	5楼东369
6696	5楼东370
6697	5楼东371
6698	5楼东372
6699	5楼东373
6700	5楼东374
6701	5楼东375
6702	5楼东376
6703	5楼东377
6704	5楼东378
6705	5楼东379
6706	5楼东380
6707	5楼东381
6708	5楼东382
6709	5楼东383
6710	5楼东384
6711	5楼东385
6712	5楼东386
6713	5楼东387
6714	5楼东388
6715	5楼东389
6716	5楼东390
6717	5楼东391
6718	5楼东392
6719	5楼西001
6720	5楼西002
6721	5楼西003
6722	5楼西004
6723	5楼西005
6724	5楼西006
6725	5楼西007
6726	5楼西008
6727	5楼西009
6728	5楼西010
6729	5楼西011
6730	5楼西012
6731	5楼西013
6732	5楼西014
6733	5楼西015
6734	5楼西016
6735	5楼西017
6736	5楼西018
6737	5楼西019
6738	5楼西020
6739	5楼西021
6740	5楼西022
6741	5楼西023
6742	5楼西024
6743	5楼西025
6744	5楼西026
6745	5楼西027
6746	5楼西028
6747	5楼西029
6748	5楼西030
6749	5楼西031
6750	5楼西032
6751	5楼西033
6752	5楼西034
6753	5楼西035
6754	5楼西036
6755	5楼西037
6756	5楼西038
6757	5楼西039
6758	5楼西040
6759	5楼西041
6760	5楼西042
6761	5楼西043
6762	5楼西044
6763	5楼西045
6764	5楼西046
6765	5楼西047
6766	5楼西048
6767	5楼西049
6768	5楼西050
6769	5楼西051
6770	5楼西052
6771	5楼西053
6772	5楼西054
6773	5楼西055
6774	5楼西056
6775	5楼西057
6776	5楼西058
6777	5楼西059
6778	5楼西060
6779	5楼西061
6780	5楼西062
6781	5楼西063
6782	5楼西064
6783	5楼西065
6784	5楼西066
6785	5楼西067
6786	5楼西068
6787	5楼西069
6788	5楼西070
6789	5楼西071
6790	5楼西072
6791	5楼西073
6792	5楼西074
6793	5楼西075
6794	5楼西076
6795	5楼西077
6796	5楼西078
6797	5楼西079
6798	5楼西080
6799	5楼西081
6800	5楼西082
6801	5楼西083
6802	5楼西084
6803	5楼西085
6804	5楼西086
6805	5楼西087
6806	5楼西088
6807	5楼西089
6808	5楼西090
6809	5楼西091
6810	5楼西092
6811	5楼西093
